kode_wilayah,nama_wilayah,tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
96747,Halim Perdana Kusuma Jakarta,1/1/2017,25.0,34.4,29.5,70.0,,,5.0,270.0,,SW
96747,Halim Perdana Kusuma Jakarta,1/2/2017,25.2,34.4,29.7,64.0,,,6.0,230.0,,SW
96747,Halim Perdana Kusuma Jakarta,1/3/2017,23.0,33.6,29.4,68.0,12.0,,6.0,240.0,,
96747,Halim Perdana Kusuma Jakarta,1/4/2017,22.8,30.6,26.2,84.0,11.8,,3.0,260.0,,SW
96747,Halim Perdana Kusuma Jakarta,1/5/2017,24.4,31.2,27.5,82.0,38.4,,5.0,200.0,,
96747,Halim Perdana Kusuma Jakarta,1/6/2017,24.6,32.6,27.7,83.0,1.2,,4.0,260.0,,N 
96747,Halim Perdana Kusuma Jakarta,1/7/2017,24.6,32.6,28.5,71.0,,,5.0,260.0,,
96747,Halim Perdana Kusuma Jakarta,1/8/2017,24.2,32.0,27.9,74.0,0.2,,4.0,310.0,,
96747,Halim Perdana Kusuma Jakarta,1/9/2017,24.0,31.6,25.8,85.0,9.4,,4.0,170.0,,S 
96747,Halim Perdana Kusuma Jakarta,1/10/2017,23.7,32.6,27.7,82.0,43.0,,4.0,360.0,,N 
96747,Halim Perdana Kusuma Jakarta,1/11/2017,24.0,31.2,27.0,85.0,3.2,,5.0,240.0,,W 
96747,Halim Perdana Kusuma Jakarta,1/12/2017,25.4,32.6,27.7,78.0,,,8.0,250.0,,W 
96747,Halim Perdana Kusuma Jakarta,1/13/2017,26.0,31.0,27.8,74.0,,,8.0,250.0,,W 
96747,Halim Perdana Kusuma Jakarta,1/14/2017,23.9,28.2,26.6,77.0,3.4,,8.0,250.0,,W 
96747,Halim Perdana Kusuma Jakarta,1/15/2017,23.8,30.4,27.3,76.0,5.0,,7.0,270.0,,
96747,Halim Perdana Kusuma Jakarta,1/16/2017,24.2,28.2,26.5,83.0,0.4,,9.0,250.0,,W 
96747,Halim Perdana Kusuma Jakarta,1/17/2017,24.0,31.8,26.6,80.0,2.6,,6.0,250.0,,SW
